"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
1081,"Bacillus cereus","CMCC P0011","SAMN03457174 ","PRJNA280148","GCA_001635955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/635/955/GCA_001635955.1_ASM163595v1"
1082,"Bacillus cereus","HN001","SAMN03457175 ","PRJNA280150","GCA_001635995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/635/995/GCA_001635995.1_ASM163599v1"
1087,"Bacillus novalis","FJAT-14227","SAMN04544315 ","PRJNA315346","GCA_001636395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/395/GCA_001636395.1_ASM163639v1"
1088,"[Brevibacterium] frigoritolerans","FJAT-2396","SAMN04544316 ","PRJNA315347","GCA_001636405.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/405/GCA_001636405.1_ASM163640v1"
1089,"Bacillus drentensis","FJAT-10044","SAMN04544313 ","PRJNA315349","GCA_001636415.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/415/GCA_001636415.1_ASM163641v1"
1091,"Bacillus simplex","FJAT-2295","SAMN04633524 ","PRJNA318162","GCA_001636475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/475/GCA_001636475.1_ASM163647v1"
1092,"Bacillus sp. FJAT-20673","FJAT-20673","SAMN04633519 ","PRJNA318160","GCA_001636485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/485/GCA_001636485.1_ASM163648v1"
1093,"Bacillus horikoshii","FJAT-14233","SAMN04633521 ","PRJNA318161","GCA_001636495.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/495/GCA_001636495.1_ASM163649v1"
1094,"Bacillus halotolerans","FJAT-2398","SAMN04544317 ","PRJNA315348","GCA_001637525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/637/525/GCA_001637525.1_ASM163752v1"
1095,"Bacillus velezensis","K26","SAMD00050900 ","PRJDB4685","GCA_001639945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/945/GCA_001639945.1_ASM163994v1"
1096,"Bacillus atrophaeus","DJHJ8","SAMD00050901 ","PRJDB4684","GCA_001639965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/965/GCA_001639965.1_ASM163996v1"
1098,"Bacillus thuringiensis serovar alesti","BGSC 4C1","SAMN04628222 ","PRJNA317856","GCA_001640965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/965/GCA_001640965.1_ASM164096v1"
1100,"Bacillus licheniformis","V30","SAMN04395482 ","PRJNA308440","GCA_001642595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/642/595/GCA_001642595.1_ASM164259v1"
1102,"Bacillus wiedmannii","FSL H8-0032","SAMN04909724 ","PRJNA288461","GCA_001645395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/395/GCA_001645395.1_ASM164539v1"
1103,"Bacillus wiedmannii","FSL H7-0353","SAMN04909723 ","PRJNA288461","GCA_001645405.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/405/GCA_001645405.1_ASM164540v1"
1104,"Bacillus wiedmannii","FSL M7-0044","SAMN04909726 ","PRJNA288461","GCA_001645445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/445/GCA_001645445.1_ASM164544v1"
1105,"Bacillus wiedmannii","FSL M7-0938","SAMN04909727 ","PRJNA288461","GCA_001645455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/455/GCA_001645455.1_ASM164545v1"
1106,"Bacillus wiedmannii","FSL M7-1251","SAMN04909728 ","PRJNA288461","GCA_001645465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/465/GCA_001645465.1_ASM164546v1"
1107,"Bacillus wiedmannii","FSL J3-0113","SAMN04909725 ","PRJNA288461","GCA_001645505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/505/GCA_001645505.1_ASM164550v1"
1108,"Bacillus wiedmannii","FSL P2-0415","SAMN04909729 ","PRJNA288461","GCA_001645525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/525/GCA_001645525.1_ASM164552v1"
1109,"Bacillus wiedmannii","FSL P2-0558","SAMN04909730 ","PRJNA288461","GCA_001645535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/535/GCA_001645535.1_ASM164553v1"
1110,"Bacillus wiedmannii","FSL P4-0569","SAMN04909731 ","PRJNA288461","GCA_001645555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/555/GCA_001645555.1_ASM164555v1"
1111,"Bacillus muralis","G25-68","SAMN03654038 ","PRJNA283689","GCA_001645685.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/685/GCA_001645685.2_ASM164568v2"
1113,"Bacillus velezensis","AP214","SAMN04461072 ","PRJNA311096","GCA_001647945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/945/GCA_001647945.1_ASM164794v1"
1114,"Bacillus velezensis","AP194","SAMN04461071 ","PRJNA311096","GCA_001647965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/965/GCA_001647965.1_ASM164796v1"
1115,"Bacillus sp. IHB B 7164","IHB B 7164","SAMN04524004 ","PRJNA313491","GCA_001648135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/135/GCA_001648135.1_ASM164813v1"
1116,"Bacillus aquimaris TF-12","TF12","SAMN04403367 ","PRJNA71387","GCA_001648555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/555/GCA_001648555.1_ASM164855v1"
1117,"Bacillus horikoshii DSM 8719","DSM 8719","SAMN04407485 ","PRJNA72395","GCA_001648575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/575/GCA_001648575.1_ASM164857v1"
1118,"Bacillus safensis","S9","SAMN03995621 ","PRJNA292972","GCA_001653905.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/905/GCA_001653905.1_ASM165390v1"
1119,"Bacillus anthracis","Tangail-1","SAMN05003865 ","PRJNA309927","GCA_001654475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/654/475/GCA_001654475.1_ASM165447v1"
1120,"Bacillus litoralis","C44","SAMN04631813 ","PRJNA317951","GCA_001654695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/654/695/GCA_001654695.1_ASM165469v1"
1121,"Bacillus sp. MKU004","MKU004","SAMN04589240 ","PRJNA316671","GCA_001655735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/655/735/GCA_001655735.1_ASM165573v1"
1123,"Bacillus subtilis subsp. subtilis","delta6","SAMN05150066 ","PRJNA322253","GCA_001660525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/525/GCA_001660525.1_ASM166052v1"
1125,"Bacillus subtilis subsp. subtilis","Y3","SAMN04419588 ","PRJNA309052","GCA_001661555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/555/GCA_001661555.1_ASM166155v1"
1126,"Bacillus siamensis","SRCM100169","SAMN05162508 ","PRJNA321938","GCA_001662915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/915/GCA_001662915.1_ASM166291v1"
1127,"Bacillus subtilis","SRCM101280","SAMN05162512 ","PRJNA321942","GCA_001662955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/955/GCA_001662955.1_ASM166295v1"
1128,"Bacillus licheniformis","SRCM100115","SAMN05162511 ","PRJNA321941","GCA_001662975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/975/GCA_001662975.1_ASM166297v1"
1129,"Bacillus subtilis","ND23","SAMN05178557 ","PRJNA323402","GCA_001663575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/575/GCA_001663575.1_ASM166357v1"
1130,"Bacillus velezensis","SRCM100731","SAMN05162509 ","PRJNA321939","GCA_001672595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/595/GCA_001672595.1_ASM167259v1"
1131,"Bacillus amyloliquefaciens","SRCM101266","SAMN05162510 ","PRJNA321940","GCA_001672615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/615/GCA_001672615.1_ASM167261v1"
1132,"Bacillus thuringiensis serovar coreanensis","ST7","SAMN05232858 ","PRJNA299545","GCA_001675515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/515/GCA_001675515.1_ASM167551v1"
1133,"Bacillus pumilus","CB01","SAMN05202149 ","PRJNA324411","GCA_001675655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/655/GCA_001675655.1_ASM167565v1"
1134,"Bacillus thuringiensis","BGSC 4BT1","SAMN04000100 ","PRJNA293263","GCA_001677055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/055/GCA_001677055.1_ASM167705v1"
1135,"Bacillus anthracis","K2","SAMN03486971 ","PRJNA281298","GCA_001677295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/295/GCA_001677295.1_ASM167729v1"
1136,"Bacillus anthracis","K1","SAMN03486970 ","PRJNA281298","GCA_001677305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/305/GCA_001677305.1_ASM167730v1"
1137,"Bacillus cereus","MROC2","SAMN05194404 ","PRJNA323940","GCA_001677965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/965/GCA_001677965.1_ASM167796v1"
1138,"Bacillus safensis","MROC1","SAMN05192528 ","PRJNA323940","GCA_001677975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/975/GCA_001677975.1_ASM167797v1"
1139,"Bacillus cereus","UW85","SAMN05171626 ","PRJNA322638","GCA_001678165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/678/165/GCA_001678165.1_ASM167816v1"
1140,"Bacillus sp. B25(2016b)","B25(2016b)","SAMN05256515 ","PRJNA325934","GCA_001679765.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/765/GCA_001679765.1_ASM167976v1"
1143,"Bacillus anthracis","Parent2","SAMN04093744 ","PRJNA295544","GCA_001683065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/065/GCA_001683065.1_ASM168306v1"
1144,"Bacillus anthracis","Parent1","SAMN04093743 ","PRJNA295544","GCA_001683095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/095/GCA_001683095.1_ASM168309v1"
1145,"Bacillus anthracis","PR01","SAMN04075676 ","PRJNA295544","GCA_001683135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/135/GCA_001683135.1_ASM168313v1"
1146,"Bacillus anthracis","PR02","SAMN04075677 ","PRJNA295544","GCA_001683155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/155/GCA_001683155.1_ASM168315v1"
1147,"Bacillus anthracis","PR05","SAMN04075680 ","PRJNA295544","GCA_001683175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/175/GCA_001683175.1_ASM168317v1"
1148,"Bacillus anthracis","PR06","SAMN04075681 ","PRJNA295544","GCA_001683195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/195/GCA_001683195.1_ASM168319v1"
1149,"Bacillus anthracis","PR07","SAMN04075682 ","PRJNA295544","GCA_001683215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/215/GCA_001683215.1_ASM168321v1"
1150,"Bacillus anthracis","PR08","SAMN04075683 ","PRJNA295544","GCA_001683235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/235/GCA_001683235.1_ASM168323v1"
1151,"Bacillus anthracis","PR09-1","SAMN04075684 ","PRJNA295544","GCA_001683255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/255/GCA_001683255.1_ASM168325v1"
1152,"Bacillus anthracis","PR09-4","SAMN04075685 ","PRJNA295544","GCA_001683275.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/275/GCA_001683275.1_ASM168327v1"
1153,"Bacillus anthracis","PR10-4","SAMN04075686 ","PRJNA295544","GCA_001683295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/295/GCA_001683295.1_ASM168329v1"
1159,"Bacillus thuringiensis","MYBT18246","SAMN03890259 ","PRJNA290307","GCA_001685565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/565/GCA_001685565.1_ASM168556v1"
1160,"Bacillus velezensis","S3-1","SAMN04816858 ","PRJNA318322","GCA_001685645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/645/GCA_001685645.1_ASM168564v1"
1161,"Bacillus pumilus","C4","SAMN03401316 ","PRJNA278012","GCA_001687085.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/085/GCA_001687085.1_ASM168708v1"
1162,"Bacillus amyloliquefaciens","SRCM101294","SAMN05185288 ","PRJNA323667","GCA_001687185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/185/GCA_001687185.1_ASM168718v1"
1163,"Bacillus velezensis","SRCM100730","SAMN05185284 ","PRJNA323665","GCA_001687195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/195/GCA_001687195.1_ASM168719v1"
1164,"Bacillus velezensis","LS69","SAMN05172932 ","PRJNA322716","GCA_001687745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/745/GCA_001687745.1_ASM168774v1"
1166,"Bacillus paralicheniformis","APC1576","SAMN04892747 ","PRJNA319458","GCA_001691735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/735/GCA_001691735.1_ASM169173v1"
1167,"Bacillus velezensis","V4","SAMN05375008 ","PRJNA328523","GCA_001692115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/692/115/GCA_001692115.1_ASM169211v1"
1168,"Bacillus thuringiensis","KNU-07","SAMN05417762 ","PRJNA330597","GCA_001692675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/692/675/GCA_001692675.1_ASM169267v1"
1169,"Bacillus subtilis subsp. subtilis","KCTC 3135","SAMN04281244 ","PRJNA302835","GCA_001697265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/697/265/GCA_001697265.1_ASM169726v1"
1173,"Bacillus cereus","LCR12","SAMN05436732 ","PRJNA331062","GCA_001699805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/699/805/GCA_001699805.1_ASM169980v1"
1175,"Bacillus pumilus","NJ-V","SAMN03965497 ","PRJNA292143","GCA_001700735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/735/GCA_001700735.1_ASM170073v1"
1176,"Bacillus subtilis subsp. subtilis","168G","SAMN05526243 ","PRJNA268543","GCA_001703495.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/495/GCA_001703495.1_ASM170349v1"
1177,"Bacillus subtilis","HJ0-6","SAMN05520947 ","PRJNA338086","GCA_001704095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/095/GCA_001704095.1_ASM170409v1"
1178,"Bacillus pumilus","PDSLzg-1","SAMN05504558 ","PRJNA335919","GCA_001704975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/975/GCA_001704975.1_ASM170497v1"
1179,"Bacillus amyloliquefaciens","RD7-7","SAMN05520945 ","PRJNA338085","GCA_001705195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/195/GCA_001705195.1_ASM170519v1"
1180,"Bacillus velezensis","CFSAN034338","SAMN04990135 ","PRJNA243331","GCA_001709045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/045/GCA_001709045.1_ASM170904v1"
1181,"Bacillus velezensis","CFSAN034339","SAMN04990136 ","PRJNA243331","GCA_001709055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/055/GCA_001709055.1_ASM170905v1"
1182,"Bacillus velezensis","CFSAN034340","SAMN04990132 ","PRJNA243331","GCA_001709115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/115/GCA_001709115.1_ASM170911v1"
1184,"Bacillus subtilis","fmb60","SAMN05139959 ","PRJNA322230","GCA_001717105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/105/GCA_001717105.1_ASM171710v1"
1185,"Bacillus cereus","MOD1_Bc140","SAMN05608065 ","PRJNA326742","GCA_001719025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/025/GCA_001719025.1_ASM171902v1"
1186,"Bacillus gibsonii","FJAT-10019","SAMN04631818 ","PRJNA340205","GCA_001719185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/185/GCA_001719185.1_ASM171918v1"
1187,"Bacillus sp. FJAT-14266","FJAT-14266","SAMN04631804 ","PRJNA340208","GCA_001719225.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/225/GCA_001719225.1_ASM171922v1"
1188,"Bacillus subtilis","BS16045","SAMN05717667 ","PRJNA341308","GCA_001720505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/720/505/GCA_001720505.1_ASM172050v1"
1189,"Bacillus cereus","FORC_024","SAMN04046553 ","PRJNA295362","GCA_001721145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/145/GCA_001721145.1_ASM172114v1"
1190,"Bacillus thuringiensis Bt18247","Bt18247","SAMN04513593 ","PRJNA227492","GCA_001721165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/165/GCA_001721165.1_ASM172116v1"
1192,"Bacillus velezensis","HJ18-4","SAMN05520939 ","PRJNA338084","GCA_001723375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/375/GCA_001723375.1_ASM172337v1"
1193,"Bacillus velezensis","M75","SAMN05323145 ","PRJNA327161","GCA_001723585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/585/GCA_001723585.1_ASM172358v1"
1195,"Bacillus licheniformis","BL1202","SAMN05717662 ","PRJNA341305","GCA_001726125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/726/125/GCA_001726125.1_ASM172612v1"
1196,"Bacillus halotolerans","III-1","SAMN05203409 ","PRJNA324435","GCA_001729105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/105/GCA_001729105.1_ASM172910v1"
1197,"Bacillus cereus","A9","SAMN05225334 ","PRJNA324744","GCA_001729295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/295/GCA_001729295.1_ASM172929v1"
1199,"Bacillus subtilis","CGMCC63528","SAMN02903557 ","PRJNA254928","GCA_001742355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/355/GCA_001742355.1_ASM174235v1"
1200,"Bacillus subtilis","KM","SAMN02903556 ","PRJNA254928","GCA_001742365.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/365/GCA_001742365.1_ASM174236v1"
1202,"Bacillus subtilis","BS38","SAMN05717668 ","PRJNA341310","GCA_001746575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/575/GCA_001746575.1_ASM174657v1"
1203,"Bacillus subtilis","HRBS-10TDI13","SAMN03764478 ","PRJNA286056","GCA_001747445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/747/445/GCA_001747445.1_ASM174744v1"
1204,"Bacillus sp. F56","F56","SAMD00053329 ","PRJDB4880","GCA_001748205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/748/205/GCA_001748205.1_ASM174820v1"
1205,"Bacillus subtilis subsp. subtilis","QB5412","SAMN05781320 ","PRJNA343182","GCA_001750745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/745/GCA_001750745.1_ASM175074v1"
1207,"Bacillus velezensis","D2-2","SAMN04566106 ","PRJNA315577","GCA_001752685.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/752/685/GCA_001752685.1_ASM175268v1"
1208,"Bacillus thuringiensis","GOE6","SAMN04819578 ","PRJNA318331","GCA_001756265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/756/265/GCA_001756265.1_ASM175626v1"
1210,"Bacillus thuringiensis","GOE1","SAMN04635980 ","PRJNA318317","GCA_001757675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/675/GCA_001757675.1_ASM175767v1"
1211,"Bacillus thuringiensis","GOE2","SAMN04803006 ","PRJNA318318","GCA_001757685.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/685/GCA_001757685.1_ASM175768v1"
1212,"Bacillus thuringiensis","GOE3","SAMN04817213 ","PRJNA318325","GCA_001757695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/695/GCA_001757695.1_ASM175769v1"
1213,"Bacillus thuringiensis","GOE4","SAMN04819576 ","PRJNA318329","GCA_001757745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/745/GCA_001757745.1_ASM175774v1"
1214,"Bacillus thuringiensis","GOE5","SAMN04819577 ","PRJNA318330","GCA_001757755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/755/GCA_001757755.1_ASM175775v1"
1215,"Bacillus thuringiensis","GOE7","SAMN04819579 ","PRJNA318332","GCA_001757775.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/775/GCA_001757775.1_ASM175777v1"
1216,"Bacillus weihenstephanensis","GOE1","SAMN04817074 ","PRJNA318323","GCA_001757785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/785/GCA_001757785.1_ASM175778v1"
1217,"Bacillus weihenstephanensis","GOE2","SAMN04817214 ","PRJNA318326","GCA_001757825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/825/GCA_001757825.1_ASM175782v1"
1218,"Bacillus weihenstephanensis","GOE8","SAMN04819585 ","PRJNA318340","GCA_001757835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/835/GCA_001757835.1_ASM175783v1"
1219,"Bacillus weihenstephanensis","GOE9","SAMN04819586 ","PRJNA318341","GCA_001757845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/845/GCA_001757845.1_ASM175784v1"
1220,"Bacillus weihenstephanensis","GOE12","SAMN04819589 ","PRJNA318344","GCA_001757875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/875/GCA_001757875.1_ASM175787v1"
1221,"Bacillus weihenstephanensis","GOE11","SAMN04819588 ","PRJNA318343","GCA_001757905.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/905/GCA_001757905.1_ASM175790v1"
1222,"Bacillus weihenstephanensis","GOE3","SAMN04819580 ","PRJNA318333","GCA_001757915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/915/GCA_001757915.1_ASM175791v1"
1223,"Bacillus weihenstephanensis","GOE4","SAMN04819581 ","PRJNA318335","GCA_001757935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/935/GCA_001757935.1_ASM175793v1"
1224,"Bacillus weihenstephanensis","GOE6","SAMN04819583 ","PRJNA318337","GCA_001757965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/965/GCA_001757965.1_ASM175796v1"
1225,"Bacillus weihenstephanensis","GOE7","SAMN04819584 ","PRJNA318339","GCA_001757985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/985/GCA_001757985.1_ASM175798v1"
1226,"Bacillus weihenstephanensis","GOE10","SAMN04819587 ","PRJNA318342","GCA_001757995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/995/GCA_001757995.1_ASM175799v1"
1227,"Bacillus weihenstephanensis","GOE13","SAMN04819590 ","PRJNA318345","GCA_001758015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/758/015/GCA_001758015.1_ASM175801v1"
1228,"Bacillus anthracis","PFAB2","SAMN05712814 ","PRJNA340359","GCA_001758315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/758/315/GCA_001758315.1_ASM175831v1"
1229,"Bacillus safensis","RP10","SAMN05861578 ","PRJNA345377","GCA_001766395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/766/395/GCA_001766395.1_ASM176639v1"
1230,"Bacillus subtilis","VV2","SAMN05915708 ","PRJNA348796","GCA_001808235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/235/GCA_001808235.1_ASM180823v1"
1231,"Bacillus sp. RZ2MS9","RZ2MS9","SAMN05773345 ","PRJNA343080","GCA_001816185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/816/185/GCA_001816185.1_ASM181618v1"
1233,"Bacillus sp. ABP14","ABP14","SAMN05607843 ","PRJNA339780","GCA_001831375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/831/375/GCA_001831375.1_ASM183137v1"
1234,"Bacillus anthracis","55-VNIIVViM","SAMN05915713 ","PRJNA348802","GCA_001835485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/835/485/GCA_001835485.1_ASM183548v1"
1235,"Bacillus sp. HMSC036E02","HMSC036E02","SAMN04498598 ","PRJNA296197","GCA_001836235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/836/235/GCA_001836235.1_ASM183623v1"
1236,"Bacillus sp. HMSC76G11","HMSC76G11","SAMN04498895 ","PRJNA274562","GCA_001838545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/838/545/GCA_001838545.1_ASM183854v1"
1237,"Bacillus velezensis","SYBC H47","SAMN05821300 ","PRJNA344371","GCA_001854345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/854/345/GCA_001854345.1_ASM185434v1"
1238,"Bacillus weihenstephanensis","GOE5","SAMN04819582 ","PRJNA318336","GCA_001855755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/755/GCA_001855755.1_ASM185575v1"
